"","UID","Chores","Hobbies","TV","Sports","Exercise"
"1445","91718361","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"1446","91718368","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1447","91718379","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"1448","91718844","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"1449","91718886","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"1450","91718908","(0) Not at all","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"1451","91718916","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1452","91718949","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1453","91718960","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1454","91718969","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1455","91718978","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times"
"1456","91719273","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1457","91719375","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1458","91719930","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times"
"1459","91719931","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1460","91719932","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"1461","91719934","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"1462","91719936","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"1463","91719937","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"1464","92316359","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1465","92316856","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times"
"1466","92374970","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times"
"1467","92374975","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"1468","92374978","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"1469","92374979","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times"
"1470","92500037","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1471","92500081","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1472","92500086","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1473","92500119","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times"
"1474","92500175","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1475","92500184","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"1476","92500219","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"1477","92500386","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1478","92500618","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1479","92500739","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"1480","92500914","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"1481","92500951","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1482","92500970","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"1483","92500982","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1484","92500984","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1485","92501253","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"1486","92503208","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"1487","92503233","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"1488","92503331","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(0) Not at all","(3) 5 or more times"
"1489","92504085","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"1490","92504100","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"1491","92504229","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"1492","92504284","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1493","92504321","(0) Not at all","(0) Not at all","(0) Not at all","(0) Not at all","(2) 3 or 4 times"
"1494","92504421","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"1495","92504722","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"1496","92504827","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"1497","92504901","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1498","92504942","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1499","92506022","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"1500","92506287","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times"
"1501","92506525","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"1502","92506687","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times"
"1503","92506844","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"1504","92506889","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"1505","92506942","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1506","92506951","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times"
"1507","92506966","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"1508","92506983","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"1509","92506993","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"1510","92506995","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1511","92507858","(1) 1 or 2 times","(0) Not at all","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times"
"1512","92507952","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"1513","92507983","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1514","92508164","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1515","92508223","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"1516","92508275","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1517","92508286","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"1518","92508530","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1519","92508625","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"1520","92508726","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"1521","92508934","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"1522","92508975","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"1523","92540117","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times"
"1524","92540152","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1525","92540351","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1526","92540559","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"1527","92540654","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"1528","92543208","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1529","92544906","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1530","92546073","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"1531","92546995","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"1532","92570084","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"1533","92570086","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times"
"1534","92570188","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1535","92570236","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1536","92570282","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1537","92570284","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1538","92570396","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all"
"1539","92570411","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1540","92570577","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times"
"1541","92570629","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"1542","92570676","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1543","92570678","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times"
"1544","92570698","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"1545","92570722","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1546","92570821","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"1547","92570856","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times"
"1548","92570879","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"1549","92570975","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times"
"1550","92570978","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"1551","92571001","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"1552","92571003","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times"
"1553","92571017","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"1554","92571019","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"1555","92571052","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times"
"1556","92571069","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"1557","92571075","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1558","92571106","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1559","92571108","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"1560","92571175","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"1561","92571200","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"1562","92571208","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1563","92571270","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(0) Not at all","(3) 5 or more times"
"1564","92571271","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"1565","92571273","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"1566","92571311","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"1567","92571316","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1568","92571372","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"1569","92571374","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times"
"1570","92571476","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"1571","92571664","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all"
"1572","92571709","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"1573","92571801","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all"
"1574","92571819","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1575","92571867","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"1576","92572061","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"1577","92572101","(0) Not at all","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1578","92572104","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"1579","92572106","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1580","92572108","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"1581","92572119","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1582","92572162","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"1583","92572168","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"1584","92572169","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times"
"1585","92572171","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times"
"1586","92572192","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times"
"1587","92572203","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times"
"1588","92572209","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1589","92572217","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1590","92572219","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times"
"1591","92572223","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1592","92572224","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"1593","92572226","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"1594","92572229","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1595","92572242","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(0) Not at all"
"1596","92572260","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"1597","92572266","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"1598","92572267","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"1599","92572283","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"1600","92572290","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times"
"1601","92572292","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1602","92572298","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1603","92572300","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1604","92572314","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"1605","92572317","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times"
"1606","92572321","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"1607","92572323","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"1608","92572324","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"1609","92572345","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1610","92572348","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1611","92572361","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"1612","92572382","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"1613","92572383","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"1614","92572388","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all"
"1615","92572390","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times"
"1616","92572397","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"1617","92572408","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1618","92572444","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1619","92572468","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1620","92572648","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"1621","92572665","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"1622","92572669","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times"
"1623","92572802","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times"
"1624","92572803","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1625","92572842","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1626","92572864","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"1627","92572872","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times"
"1628","92572906","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1629","92572916","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times"
"1630","92572918","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all"
"1631","92572919","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1632","92572922","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times"
"1633","92572924","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all"
"1634","92572963","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times"
"1635","92572983","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"1636","92572986","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1637","92572989","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1638","92573004","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"1639","92573010","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"1640","92573096","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"1641","92573118","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1642","92573136","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"1643","92573194","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1644","92573211","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"1645","92573232","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1646","92573311","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1647","92573316","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1648","92573497","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"1649","92573499","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1650","92573531","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"1651","92573610","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times"
"1652","92573690","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"1653","92573691","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"1654","92573693","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"1655","92573697","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all"
"1656","92573816","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"1657","92573818","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times"
"1658","92573831","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1659","92573916","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"1660","92573917","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"1661","92573942","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times"
"1662","92573943","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"1663","92573945","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1664","92573946","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all"
"1665","92573955","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"1666","92573956","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"1667","92573958","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"1668","92573959","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all"
